"filename", "language", "WGSL", "Rust", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Reo\Documents\code\note\src\animation.rs", "Rust", 0, 21, 0, 0, 4, 25
"c:\Users\Reo\Documents\code\note\src\camera.rs", "Rust", 0, 135, 0, 0, 23, 158
"c:\Users\Reo\Documents\code\note\src\catmull_rom.wgsl", "WGSL", 48, 0, 0, 0, 12, 60
"c:\Users\Reo\Documents\code\note\src\cs_segment.wgsl", "WGSL", 60, 0, 0, 0, 13, 73
"c:\Users\Reo\Documents\code\note\src\disc.wgsl", "WGSL", 42, 0, 0, 0, 6, 48
"c:\Users\Reo\Documents\code\note\src\launch.json", "JSON with Comments", 0, 0, 11, 0, 0, 11
"c:\Users\Reo\Documents\code\note\src\lib.rs", "Rust", 0, 1060, 0, 14, 101, 1175
"c:\Users\Reo\Documents\code\note\src\main.rs", "Rust", 0, 3, 0, 0, 1, 4
"c:\Users\Reo\Documents\code\note\src\shader.wgsl", "WGSL", 43, 0, 0, 0, 6, 49
"c:\Users\Reo\Documents\code\note\src\stroke.rs", "Rust", 0, 111, 0, 9, 9, 129
"c:\Users\Reo\Documents\code\note\src\stroke.wgsl", "WGSL", 76, 0, 0, 0, 13, 89
"c:\Users\Reo\Documents\code\note\src\texture.rs", "Rust", 0, 73, 0, 0, 8, 81
"Total", "-", 269, 1403, 11, 23, 196, 1902
