"filename", "language", "Rust", "WGSL", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Reo\Documents\code\note\src\animation.rs", "Rust", 21, 0, 0, 0, 4, 25
"c:\Users\Reo\Documents\code\note\src\camera.rs", "Rust", 135, 0, 0, 0, 22, 157
"c:\Users\Reo\Documents\code\note\src\launch.json", "JSON with Comments", 0, 0, 11, 0, 0, 11
"c:\Users\Reo\Documents\code\note\src\lib.rs", "Rust", 580, 0, 0, 2, 61, 643
"c:\Users\Reo\Documents\code\note\src\main.rs", "Rust", 3, 0, 0, 0, 1, 4
"c:\Users\Reo\Documents\code\note\src\shader.wgsl", "WGSL", 0, 43, 0, 0, 6, 49
"c:\Users\Reo\Documents\code\note\src\texture.rs", "Rust", 73, 0, 0, 0, 8, 81
"Total", "-", 812, 43, 11, 2, 102, 970
