"filename", "language", "WGSL", "Rust", "comment", "blank", "total"
"c:\Users\Reo\Documents\code\note\src\cs_bezier.wgsl", "WGSL", -1, 0, 0, 2, 1
"c:\Users\Reo\Documents\code\note\src\lib.rs", "Rust", 0, 2, 0, 0, 2
"Total", "-", -1, 2, 0, 2, 3
